year,county,facilityType,vmt,laneMiles,minElast,maxElast
2021,Cumberland,Urban Local,446564,546,0.3,0.5
2021,Cumberland,Rural Interstate/Primary Arterial,150390,39,0.7,1
2021,Cumberland,Rural Minor Arterial,172085,47,0.5,0.7
2021,Cumberland,Rural Collector (Major and Minor),129126,98,0.5,0.7
2021,Cumberland,Rural Local,200535,333,0.3,0.5
2022,Cumberland,Urban Interstate/Freeway/Expressway,513728,51,0.7,1
2022,Cumberland,Urban Primary Arterial,170537,42.5,0.7,1
2022,Cumberland,Urban Minor Arterial,1145573,156,0.5,0.7
2022,Cumberland,Urban Collector (Major and Minor),343967,91,0.5,0.7
2022,Cumberland,Urban Local,501643,546,0.3,0.5
2022,Cumberland,Rural Interstate/Primary Arterial,146749,39,0.7,1
2022,Cumberland,Rural Minor Arterial,155945,47,0.5,0.7
2022,Cumberland,Rural Collector (Major and Minor),136171,98,0.5,0.7
2022,Cumberland,Rural Local,204746,333,0.3,0.5
2017,Essex,Urban Interstate/Freeway/Expressway,6679024,153,0.7,1
2017,Essex,Urban Primary Arterial,2293961,268,0.7,1
2017,Essex,Urban Minor Arterial,1859650,198,0.5,0.7
2017,Essex,Urban Collector (Major and Minor),996838,179,0.5,0.7
2017,Essex,Urban Local,1736392,1152,0.3,0.5
2017,Essex,Rural Interstate/Primary Arterial,0,0,0.7,1
2017,Essex,Rural Minor Arterial,0,0,0.5,0.7
2017,Essex,Rural Collector (Major and Minor),0,0,0.5,0.7
2017,Essex,Rural Local,0,0,0.3,0.5
2018,Essex,Urban Interstate/Freeway/Expressway,6665030,153,0.7,1
2018,Essex,Urban Primary Arterial,2266652,268,0.7,1
2018,Essex,Urban Minor Arterial,1955214,198,0.5,0.7
2018,Essex,Urban Collector (Major and Minor),1045522,179,0.5,0.7
2018,Essex,Urban Local,1754972,1152,0.3,0.5
2018,Essex,Rural Interstate/Primary Arterial,0,0,0.7,1
2018,Essex,Rural Minor Arterial,0,0,0.5,0.7
2018,Essex,Rural Collector (Major and Minor),0,0,0.5,0.7
2018,Essex,Rural Local,0,0,0.3,0.5
2019,Essex,Urban Interstate/Freeway/Expressway,6366127,153,0.7,1
2019,Essex,Urban Primary Arterial,2283193,268,0.7,1
2019,Essex,Urban Minor Arterial,1969126,198,0.5,0.7
2019,Essex,Urban Collector (Major and Minor),1054895,179,0.5,0.7
2019,Essex,Urban Local,1687322,1152,0.3,0.5
2019,Essex,Rural Interstate/Primary Arterial,0,0,0.7,1
2019,Essex,Rural Minor Arterial,0,0,0.5,0.7
2019,Essex,Rural Collector (Major and Minor),0,0,0.5,0.7
2019,Essex,Rural Local,0,0,0.3,0.5
2020,Essex,Urban Interstate/Freeway/Expressway,5418060,153,0.7,1
